x,y,z,yaw
3.0,29.52,2.0,1.5707963267948966
3.0,29.6,2.0,1.5707963267948966
3.0,29.68,2.0,1.5707963267948966
3.0,29.759999999999998,2.0,1.5707963267948966
3.0,29.84,2.0,1.5707963267948966
3.0,29.92,2.0,1.5707963267948966
3.0,30.0,2.0,0.0
3.08,30.0,2.0,0.0
3.16,30.0,2.0,0.0
3.24,30.0,2.0,0.0
3.32,30.0,2.0,0.0
3.4,30.0,2.0,0.0
3.48,30.0,2.0,0.0
3.56,30.0,2.0,0.0
3.64,30.0,2.0,0.0
3.7199999999999998,30.0,2.0,0.0
3.8,30.0,2.0,0.0
3.88,30.0,2.0,0.0
3.96,30.0,2.0,0.0
4.04,30.0,2.0,0.0
4.12,30.0,2.0,0.0
4.2,30.0,2.0,0.0
4.28,30.0,2.0,0.0
4.359999999999999,30.0,2.0,0.0
4.4399999999999995,30.0,2.0,0.0
4.52,30.0,2.0,0.0
4.6,30.0,2.0,0.0
4.68,30.0,2.0,0.0
4.76,30.0,2.0,0.0
4.84,30.0,2.0,0.0
4.92,30.0,2.0,0.0
5.0,30.0,2.0,0.0
5.08,30.0,2.0,0.0
5.16,30.0,2.0,0.0
5.24,30.0,2.0,0.0
5.32,30.0,2.0,0.0
5.4,30.0,2.0,0.0
5.48,30.0,2.0,0.0
5.5600000000000005,30.0,2.0,0.0
5.640000000000001,30.0,2.0,0.0
5.72,30.0,2.0,0.0
5.800000000000001,30.0,2.0,0.0
5.88,30.0,2.0,0.0
5.96,30.0,2.0,0.0
6.04,30.0,2.0,0.0
6.12,30.0,2.0,0.0
6.199999999999999,30.0,2.0,0.0
6.28,30.0,2.0,0.0
6.359999999999999,30.0,2.0,0.0
6.4399999999999995,30.0,2.0,0.0
6.5200000000000005,30.0,2.0,0.0
6.6,30.0,2.0,0.0
6.68,30.0,2.0,0.0
6.76,30.0,2.0,0.0
6.84,30.0,2.0,0.0
6.92,30.0,2.0,0.0
7.0,30.0,2.0,0.0
7.08,30.0,2.0,0.0
7.16,30.0,2.0,0.0
7.24,30.0,2.0,0.0
7.319999999999999,30.0,2.0,0.0
7.4,30.0,2.0,0.0
7.48,30.0,2.0,0.0
7.5600000000000005,30.0,2.0,0.0
7.64,30.0,2.0,0.0
7.72,30.0,2.0,0.0
7.8,30.0,2.0,0.0
7.88,30.0,2.0,0.0
7.96,30.0,2.0,0.0
8.04,30.0,2.0,0.0
8.120000000000001,30.0,2.0,0.0
8.2,30.0,2.0,0.0
8.280000000000001,30.0,2.0,0.0
8.36,30.0,2.0,0.0
8.44,30.0,2.0,0.0
8.52,30.0,2.0,0.0
8.600000000000001,30.0,2.0,0.0
8.68,30.0,2.0,0.0
8.76,30.0,2.0,0.0
8.84,30.0,2.0,0.0
8.92,30.0,2.0,0.0
9.0,30.0,2.0,0.0
9.08,30.0,2.0,0.0
9.16,30.0,2.0,0.0
9.24,30.0,2.0,0.0
9.32,30.0,2.0,0.0
9.399999999999999,30.0,2.0,0.0
9.48,30.0,2.0,0.0
9.56,30.0,2.0,0.0
9.64,30.0,2.0,0.0
9.719999999999999,30.0,2.0,0.0
9.8,30.0,2.0,0.0
9.879999999999999,30.0,2.0,0.0
9.96,30.0,2.0,0.0
10.040000000000001,30.0,2.0,0.0
10.120000000000001,30.0,2.0,0.0
10.2,30.0,2.0,0.0
10.280000000000001,30.0,2.0,0.0
10.36,30.0,2.0,0.0
10.440000000000001,30.0,2.0,0.0
10.52,30.0,2.0,0.0
10.6,30.0,2.0,0.0
10.68,30.0,2.0,0.0
10.76,30.0,2.0,0.0
10.84,30.0,2.0,0.0
10.92,30.0,2.0,0.0
11.0,30.0,2.0,0.0
11.08,30.0,2.0,0.0
11.16,30.0,2.0,0.0
11.239999999999998,30.0,2.0,0.0
11.32,30.0,2.0,0.0
11.4,30.0,2.0,0.0
11.48,30.0,2.0,0.0
11.56,30.0,2.0,0.0
11.639999999999999,30.0,2.0,0.0
11.72,30.0,2.0,0.0
11.8,30.0,2.0,0.0
11.879999999999999,30.0,2.0,0.0
11.96,30.0,2.0,0.0
12.04,30.0,2.0,0.0
12.120000000000001,30.0,2.0,0.0
12.2,30.0,2.0,0.0
12.28,30.0,2.0,0.0
12.36,30.0,2.0,0.0
12.44,30.0,2.0,0.0
12.520000000000001,30.0,2.0,0.0
12.6,30.0,2.0,0.0
12.68,30.0,2.0,0.0
12.76,30.0,2.0,0.0
12.84,30.0,2.0,0.0
12.92,30.0,2.0,0.0
13.0,30.0,2.0,0.0
13.08,30.0,2.0,0.0
13.16,30.0,2.0,0.0
13.24,30.0,2.0,0.0
13.32,30.0,2.0,0.0
13.4,30.0,2.0,0.0
13.48,30.0,2.0,0.0
13.56,30.0,2.0,0.0
13.64,30.0,2.0,0.0
13.719999999999999,30.0,2.0,0.0
13.8,30.0,2.0,0.0
13.879999999999999,30.0,2.0,0.0
13.959999999999999,30.0,2.0,0.0
14.040000000000001,30.0,2.0,0.0
14.12,30.0,2.0,0.0
14.200000000000001,30.0,2.0,0.0
14.28,30.0,2.0,0.0
14.36,30.0,2.0,0.0
14.440000000000001,30.0,2.0,0.0
14.52,30.0,2.0,0.0
14.600000000000001,30.0,2.0,0.0
14.68,30.0,2.0,0.0
14.76,30.0,2.0,0.0
14.84,30.0,2.0,0.0
14.92,30.0,2.0,0.0
15.0,30.0,2.0,0.0
15.08,30.0,2.0,0.0
15.16,30.0,2.0,0.0
15.24,30.0,2.0,0.0
15.32,30.0,2.0,0.0
15.399999999999999,30.0,2.0,0.0
15.48,30.0,2.0,0.0
15.56,30.0,2.0,0.0
15.639999999999999,30.0,2.0,0.0
15.72,30.0,2.0,0.0
15.799999999999999,30.0,2.0,0.0
15.88,30.0,2.0,0.0
15.96,30.0,2.0,0.0
16.04,30.0,2.0,0.0
16.12,30.0,2.0,0.0
16.2,30.0,2.0,0.0
16.28,30.0,2.0,0.0
16.36,30.0,2.0,0.0
16.439999999999998,30.0,2.0,0.0
16.52,30.0,2.0,0.0
16.6,30.0,2.0,0.0
16.68,30.0,2.0,0.0
16.759999999999998,30.0,2.0,0.0
16.84,30.0,2.0,0.0
16.92,30.0,2.0,0.0
17.0,30.0,2.0,0.0
